Created as New Dataset,
nm,%T
800.0,87.16
799.0,87.20
798.0,87.57
797.0,87.72
796.0,87.58
795.0,88.34
794.0,87.51
793.0,87.77
792.0,88.13
791.0,87.82
790.0,87.00
789.0,87.16
788.0,87.91
787.0,87.15
786.0,87.65
785.0,87.63
784.0,87.26
783.0,87.61
782.0,87.37
781.0,87.85
780.0,87.48
779.0,87.67
778.0,87.50
777.0,87.12
776.0,87.37
775.0,87.64
774.0,87.64
773.0,87.30
772.0,87.66
771.0,87.66
770.0,87.10
769.0,86.76
768.0,86.78
767.0,87.22
766.0,87.38
765.0,86.77
764.0,86.86
763.0,86.87
762.0,86.96
761.0,86.55
760.0,86.79
759.0,86.65
758.0,86.78
757.0,86.61
756.0,86.35
755.0,86.38
754.0,86.31
753.0,86.12
752.0,86.36
751.0,86.18
750.0,86.28
749.0,86.58
748.0,86.37
747.0,86.31
746.0,86.30
745.0,86.10
744.0,85.95
743.0,86.30
742.0,86.19
741.0,86.04
740.0,86.15
739.0,86.40
738.0,86.09
737.0,86.39
736.0,86.41
735.0,86.36
734.0,86.09
733.0,85.86
732.0,86.16
731.0,86.32
730.0,86.25
729.0,85.99
728.0,86.07
727.0,86.15
726.0,85.88
725.0,85.80
724.0,85.93
723.0,85.58
722.0,85.55
721.0,85.29
720.0,85.35
719.0,85.19
718.0,85.47
717.0,85.43
716.0,85.30
715.0,85.23
714.0,85.31
713.0,85.24
712.0,85.10
711.0,85.55
710.0,85.53
709.0,85.52
708.0,85.75
707.0,85.64
706.0,85.42
705.0,85.64
704.0,85.69
703.0,85.59
702.0,85.47
701.0,85.53
700.0,85.74
699.0,85.50
698.0,85.64
697.0,85.86
696.0,85.70
695.0,85.52
694.0,85.68
693.0,85.99
692.0,85.96
691.0,85.64
690.0,85.47
689.0,85.31
688.0,85.36
687.0,85.64
686.0,85.79
685.0,85.55
684.0,85.52
683.0,85.64
682.0,85.58
681.0,85.57
680.0,85.53
679.0,85.50
678.0,85.58
677.0,85.64
676.0,85.69
675.0,85.65
674.0,85.66
673.0,85.62
672.0,85.55
671.0,85.79
670.0,85.79
669.0,85.70
668.0,85.84
667.0,85.88
666.0,85.85
665.0,85.87
664.0,85.84
663.0,85.72
662.0,85.63
661.0,85.65
660.0,85.67
659.0,85.55
658.0,85.49
657.0,85.57
656.0,85.73
655.0,85.74
654.0,85.60
653.0,85.51
652.0,85.48
651.0,85.47
650.0,85.60
649.0,85.65
648.0,85.59
647.0,85.60
646.0,85.65
645.0,85.47
644.0,85.20
643.0,85.24
642.0,85.28
641.0,85.38
640.0,85.39
639.0,85.29
638.0,85.30
637.0,85.35
636.0,85.27
635.0,85.22
634.0,85.37
633.0,85.32
632.0,85.27
631.0,85.12
630.0,85.09
629.0,85.08
628.0,84.93
627.0,84.93
626.0,84.94
625.0,84.90
624.0,85.10
623.0,85.16
622.0,85.07
621.0,84.93
620.0,84.84
619.0,84.79
618.0,84.66
617.0,84.68
616.0,84.52
615.0,84.49
614.0,84.38
613.0,84.29
612.0,84.28
611.0,84.34
610.0,84.43
609.0,84.25
608.0,84.19
607.0,84.25
606.0,84.25
605.0,84.23
604.0,84.16
603.0,84.18
602.0,84.15
601.0,84.21
600.0,84.27
599.0,84.21
598.0,84.11
597.0,84.04
596.0,84.23
595.0,84.26
594.0,84.22
593.0,84.09
592.0,84.15
591.0,84.29
590.0,84.32
589.0,84.09
588.0,84.21
587.0,84.17
586.0,84.24
585.0,84.37
584.0,84.32
583.0,84.18
582.0,84.31
581.0,84.33
580.0,84.15
579.0,84.12
578.0,84.05
577.0,83.89
576.0,84.05
575.0,84.15
574.0,83.99
573.0,84.00
572.0,84.07
571.0,84.19
570.0,84.12
569.0,83.98
568.0,83.94
567.0,84.09
566.0,83.99
565.0,83.93
564.0,83.88
563.0,83.99
562.0,83.82
561.0,83.79
560.0,83.85
559.0,83.80
558.0,83.84
557.0,83.73
556.0,83.63
555.0,83.57
554.0,83.56
553.0,83.42
552.0,83.55
551.0,83.42
550.0,83.32
549.0,83.33
548.0,83.25
547.0,83.25
546.0,83.25
545.0,83.06
544.0,83.10
543.0,83.06
542.0,83.08
541.0,82.80
540.0,82.96
539.0,82.75
538.0,82.81
537.0,82.71
536.0,82.63
535.0,82.66
534.0,82.71
533.0,82.55
532.0,82.44
531.0,82.55
530.0,82.60
529.0,82.45
528.0,82.54
527.0,82.52
526.0,82.47
525.0,82.48
524.0,82.51
523.0,82.48
522.0,82.56
521.0,82.51
520.0,82.49
519.0,82.48
518.0,82.47
517.0,82.45
516.0,82.45
515.0,82.39
514.0,82.41
513.0,82.41
512.0,82.16
511.0,82.41
510.0,82.36
509.0,82.41
508.0,81.89
507.0,81.93
506.0,81.99
505.0,81.97
504.0,81.98
503.0,81.94
502.0,82.04
501.0,81.85
500.0,81.94
499.0,81.72
498.0,82.09
497.0,81.69
496.0,81.66
495.0,81.58
494.0,81.55
493.0,81.06
492.0,81.36
491.0,81.24
490.0,81.13
489.0,81.04
488.0,81.35
487.0,80.98
486.0,80.97
485.0,81.12
484.0,81.32
483.0,81.19
482.0,80.96
481.0,81.02
480.0,81.03
479.0,80.84
478.0,80.79
477.0,80.90
476.0,80.79
475.0,80.74
474.0,80.55
473.0,80.62
472.0,80.57
471.0,80.59
470.0,80.53
469.0,80.56
468.0,80.24
467.0,80.37
466.0,80.42
465.0,80.08
464.0,80.17
463.0,80.22
462.0,80.06
461.0,80.18
460.0,80.04
459.0,80.16
458.0,79.85
457.0,79.95
456.0,79.81
455.0,79.60
454.0,79.54
453.0,79.57
452.0,79.47
451.0,79.42
450.0,79.22
449.0,79.15
448.0,79.19
447.0,78.94
446.0,78.87
445.0,79.04
444.0,78.92
443.0,78.98
442.0,79.00
441.0,78.83
440.0,78.71
439.0,78.57
438.0,78.42
437.0,78.37
436.0,78.39
435.0,78.06
434.0,77.98
433.0,77.97
432.0,77.95
431.0,77.74
430.0,77.67
429.0,77.81
428.0,77.59
427.0,77.22
426.0,77.25
425.0,77.07
424.0,77.01
423.0,76.83
422.0,76.64
421.0,76.48
420.0,76.45
419.0,76.33
418.0,76.07
417.0,75.92
416.0,75.82
415.0,75.59
414.0,75.43
413.0,75.21
412.0,75.16
411.0,74.97
410.0,74.84
409.0,74.67
408.0,74.48
407.0,74.24
406.0,73.94
405.0,73.61
404.0,73.20
403.0,73.01
402.0,72.68
401.0,72.35
400.0,71.96
399.0,71.71
398.0,71.37
397.0,70.90
396.0,70.45
395.0,69.87
394.0,69.19
393.0,68.70
392.0,68.18
391.0,67.50
390.0,66.74
389.0,65.86
388.0,64.67
387.0,63.59
386.0,62.33
385.0,60.76
384.0,59.10
383.0,57.51
382.0,55.75
381.0,53.78
380.0,51.86
379.0,49.29
