Created as New Dataset,
nm,%T
800.0,13.24
799.0,13.17
798.0,13.18
797.0,13.29
796.0,13.23
795.0,13.16
794.0,13.14
793.0,13.11
792.0,13.13
791.0,13.07
790.0,13.15
789.0,12.92
788.0,13.07
787.0,13.10
786.0,13.02
785.0,13.08
784.0,13.01
783.0,12.99
782.0,13.08
781.0,13.00
780.0,13.04
779.0,12.99
778.0,12.89
777.0,13.04
776.0,12.92
775.0,12.82
774.0,12.81
773.0,12.87
772.0,12.83
771.0,12.87
770.0,12.77
769.0,12.77
768.0,12.72
767.0,12.72
766.0,12.80
765.0,12.75
764.0,12.74
763.0,12.67
762.0,12.70
761.0,12.63
760.0,12.63
759.0,12.60
758.0,12.56
757.0,12.55
756.0,12.59
755.0,12.46
754.0,12.52
753.0,12.59
752.0,12.53
751.0,12.56
750.0,12.51
749.0,12.46
748.0,12.42
747.0,12.43
746.0,12.41
745.0,12.38
744.0,12.38
743.0,12.38
742.0,12.33
741.0,12.30
740.0,12.34
739.0,12.37
738.0,12.32
737.0,12.21
736.0,12.20
735.0,12.16
734.0,12.25
733.0,12.18
732.0,12.15
731.0,12.24
730.0,12.18
729.0,12.10
728.0,12.14
727.0,12.13
726.0,12.12
725.0,12.13
724.0,12.11
723.0,12.00
722.0,12.03
721.0,12.08
720.0,12.08
719.0,12.07
718.0,12.01
717.0,12.01
716.0,11.99
715.0,11.95
714.0,11.88
713.0,11.96
712.0,11.94
711.0,11.85
710.0,11.90
709.0,11.91
708.0,11.84
707.0,11.83
706.0,11.83
705.0,11.85
704.0,11.84
703.0,11.81
702.0,11.79
701.0,11.76
700.0,11.75
699.0,11.77
698.0,11.72
697.0,11.64
696.0,11.65
695.0,11.62
694.0,11.64
693.0,11.62
692.0,11.58
691.0,11.62
690.0,11.58
689.0,11.54
688.0,11.58
687.0,11.55
686.0,11.51
685.0,11.51
684.0,11.54
683.0,11.50
682.0,11.41
681.0,11.42
680.0,11.44
679.0,11.41
678.0,11.39
677.0,11.41
676.0,11.38
675.0,11.35
674.0,11.32
673.0,11.29
672.0,11.30
671.0,11.34
670.0,11.29
669.0,11.28
668.0,11.27
667.0,11.20
666.0,11.20
665.0,11.20
664.0,11.17
663.0,11.16
662.0,11.17
661.0,11.17
660.0,11.14
659.0,11.11
658.0,11.07
657.0,11.04
656.0,11.07
655.0,11.09
654.0,11.06
653.0,11.00
652.0,11.00
651.0,11.03
650.0,11.00
649.0,10.95
648.0,10.91
647.0,10.91
646.0,10.89
645.0,10.88
644.0,10.90
643.0,10.87
642.0,10.86
641.0,10.84
640.0,10.79
639.0,10.78
638.0,10.77
637.0,10.75
636.0,10.74
635.0,10.75
634.0,10.72
633.0,10.69
632.0,10.68
631.0,10.68
630.0,10.67
629.0,10.65
628.0,10.62
627.0,10.62
626.0,10.64
625.0,10.62
624.0,10.58
623.0,10.56
622.0,10.56
621.0,10.55
620.0,10.51
619.0,10.51
618.0,10.52
617.0,10.49
616.0,10.47
615.0,10.46
614.0,10.44
613.0,10.42
612.0,10.42
611.0,10.41
610.0,10.37
609.0,10.38
608.0,10.38
607.0,10.34
606.0,10.31
605.0,10.30
604.0,10.30
603.0,10.28
602.0,10.25
601.0,10.25
600.0,10.22
599.0,10.22
598.0,10.23
597.0,10.21
596.0,10.17
595.0,10.15
594.0,10.18
593.0,10.18
592.0,10.13
591.0,10.12
590.0,10.13
589.0,10.14
588.0,10.12
587.0,10.09
586.0,10.05
585.0,10.04
584.0,10.01
583.0,9.98
582.0,9.95
581.0,9.96
580.0,9.95
579.0,9.94
578.0,9.94
577.0,9.94
576.0,9.90
575.0,9.91
574.0,9.89
573.0,9.89
572.0,9.89
571.0,9.87
570.0,9.84
569.0,9.82
568.0,9.79
567.0,9.78
566.0,9.79
565.0,9.77
564.0,9.75
563.0,9.74
562.0,9.73
561.0,9.70
560.0,9.69
559.0,9.67
558.0,9.67
557.0,9.67
556.0,9.64
555.0,9.62
554.0,9.61
553.0,9.59
552.0,9.58
551.0,9.55
550.0,9.56
549.0,9.52
548.0,9.51
547.0,9.51
546.0,9.48
545.0,9.47
544.0,9.45
543.0,9.46
542.0,9.43
541.0,9.41
540.0,9.39
539.0,9.38
538.0,9.34
537.0,9.31
536.0,9.29
535.0,9.28
534.0,9.23
533.0,9.21
532.0,9.18
531.0,9.17
530.0,9.13
529.0,9.09
528.0,9.03
527.0,8.96
526.0,8.92
525.0,8.88
524.0,8.83
523.0,8.75
522.0,8.69
521.0,8.58
520.0,8.48
519.0,8.36
518.0,8.24
517.0,8.11
516.0,7.97
515.0,7.78
514.0,7.58
513.0,7.38
512.0,7.13
511.0,6.89
510.0,6.57
509.0,6.27
508.0,5.92
507.0,5.53
506.0,5.15
505.0,4.69
504.0,4.29
503.0,3.85
502.0,3.44
501.0,2.99
500.0,2.52
499.0,2.13
498.0,1.76
497.0,1.41
496.0,1.09
495.0,0.85
494.0,0.64
493.0,0.46
492.0,0.33
491.0,0.25
490.0,0.19
489.0,0.13
488.0,0.11
487.0,0.10
486.0,0.09
485.0,0.08
484.0,0.08
483.0,0.08
482.0,0.08
481.0,0.08
480.0,0.08
479.0,0.09
478.0,0.09
477.0,0.08
476.0,0.09
475.0,0.09
474.0,0.08
473.0,0.09
472.0,0.09
471.0,0.09
470.0,0.09
469.0,0.09
468.0,0.10
467.0,0.09
466.0,0.09
465.0,0.10
464.0,0.10
463.0,0.09
462.0,0.09
461.0,0.10
460.0,0.10
459.0,0.09
458.0,0.09
457.0,0.10
456.0,0.10
455.0,0.09
454.0,0.09
453.0,0.10
452.0,0.09
451.0,0.09
450.0,0.09
449.0,0.10
448.0,0.10
447.0,0.09
