Created as New Dataset,
nm,%T
800.0,14.32
799.0,14.44
798.0,14.24
797.0,14.38
796.0,14.29
795.0,14.35
794.0,14.34
793.0,14.19
792.0,14.15
791.0,14.20
790.0,14.21
789.0,14.14
788.0,14.20
787.0,14.25
786.0,14.17
785.0,14.20
784.0,14.16
783.0,14.12
782.0,14.07
781.0,14.17
780.0,14.20
779.0,13.98
778.0,13.95
777.0,13.99
776.0,14.05
775.0,13.96
774.0,13.94
773.0,13.93
772.0,13.91
771.0,13.96
770.0,13.89
769.0,13.97
768.0,13.95
767.0,13.87
766.0,14.02
765.0,13.99
764.0,13.83
763.0,13.83
762.0,13.84
761.0,13.79
760.0,13.77
759.0,13.67
758.0,13.68
757.0,13.75
756.0,13.78
755.0,13.70
754.0,13.75
753.0,13.73
752.0,13.70
751.0,13.65
750.0,13.67
749.0,13.66
748.0,13.58
747.0,13.59
746.0,13.51
745.0,13.49
744.0,13.56
743.0,13.47
742.0,13.50
741.0,13.47
740.0,13.46
739.0,13.50
738.0,13.43
737.0,13.36
736.0,13.32
735.0,13.41
734.0,13.38
733.0,13.37
732.0,13.34
731.0,13.36
730.0,13.34
729.0,13.36
728.0,13.28
727.0,13.24
726.0,13.30
725.0,13.27
724.0,13.25
723.0,13.26
722.0,13.19
721.0,13.16
720.0,13.18
719.0,13.18
718.0,13.12
717.0,13.17
716.0,13.11
715.0,13.08
714.0,13.02
713.0,13.10
712.0,13.09
711.0,13.00
710.0,12.98
709.0,13.03
708.0,13.02
707.0,12.97
706.0,12.93
705.0,12.99
704.0,12.94
703.0,12.94
702.0,12.96
701.0,12.88
700.0,12.85
699.0,12.90
698.0,12.86
697.0,12.85
696.0,12.83
695.0,12.78
694.0,12.80
693.0,12.77
692.0,12.74
691.0,12.74
690.0,12.70
689.0,12.74
688.0,12.68
687.0,12.61
686.0,12.63
685.0,12.66
684.0,12.63
683.0,12.60
682.0,12.60
681.0,12.59
680.0,12.58
679.0,12.55
678.0,12.53
677.0,12.53
676.0,12.49
675.0,12.47
674.0,12.47
673.0,12.46
672.0,12.40
671.0,12.43
670.0,12.44
669.0,12.41
668.0,12.39
667.0,12.34
666.0,12.34
665.0,12.33
664.0,12.32
663.0,12.29
662.0,12.22
661.0,12.24
660.0,12.26
659.0,12.23
658.0,12.21
657.0,12.18
656.0,12.18
655.0,12.16
654.0,12.14
653.0,12.13
652.0,12.12
651.0,12.11
650.0,12.11
649.0,12.08
648.0,12.07
647.0,12.07
646.0,12.00
645.0,11.97
644.0,12.00
643.0,11.96
