Created as New Dataset,
nm,%T
800.0,12.62
799.0,12.50
798.0,12.41
797.0,12.55
796.0,12.43
795.0,12.45
794.0,12.49
793.0,12.52
792.0,12.37
791.0,12.29
790.0,12.25
789.0,12.31
788.0,12.22
787.0,12.26
786.0,12.27
785.0,12.27
784.0,12.14
783.0,12.15
782.0,12.23
781.0,12.19
780.0,12.15
779.0,12.28
778.0,12.24
777.0,12.05
776.0,12.08
775.0,12.03
774.0,12.06
773.0,12.13
772.0,11.89
771.0,12.08
770.0,12.08
769.0,11.98
768.0,11.95
767.0,11.96
766.0,11.97
765.0,11.98
764.0,11.93
763.0,11.89
762.0,11.85
761.0,11.87
760.0,11.82
759.0,11.78
758.0,11.75
757.0,11.81
756.0,11.75
755.0,11.69
754.0,11.65
753.0,11.66
752.0,11.67
751.0,11.73
750.0,11.69
749.0,11.73
748.0,11.63
747.0,11.61
746.0,11.59
745.0,11.58
744.0,11.56
743.0,11.58
742.0,11.56
741.0,11.55
740.0,11.47
739.0,11.54
738.0,11.46
737.0,11.44
736.0,11.40
735.0,11.46
734.0,11.41
733.0,11.49
732.0,11.34
731.0,11.32
730.0,11.31
729.0,11.30
728.0,11.34
727.0,11.36
726.0,11.24
725.0,11.26
724.0,11.23
723.0,11.23
722.0,11.16
721.0,11.17
720.0,11.13
719.0,11.14
718.0,11.16
717.0,11.11
716.0,11.10
715.0,11.05
714.0,11.04
713.0,11.00
712.0,11.05
711.0,11.02
710.0,10.94
709.0,10.94
708.0,10.96
707.0,10.99
706.0,11.01
705.0,10.97
704.0,10.91
703.0,10.90
702.0,10.89
701.0,10.84
700.0,10.83
699.0,10.83
698.0,10.82
697.0,10.81
696.0,10.78
695.0,10.76
694.0,10.75
693.0,10.77
692.0,10.72
691.0,10.71
690.0,10.69
689.0,10.67
688.0,10.64
687.0,10.61
686.0,10.63
685.0,10.61
684.0,10.59
683.0,10.58
682.0,10.53
681.0,10.55
680.0,10.54
679.0,10.51
678.0,10.50
677.0,10.49
676.0,10.47
675.0,10.47
674.0,10.47
673.0,10.40
672.0,10.39
671.0,10.39
670.0,10.39
669.0,10.34
668.0,10.31
667.0,10.31
666.0,10.30
665.0,10.27
664.0,10.27
663.0,10.25
662.0,10.20
661.0,10.19
660.0,10.18
659.0,10.18
658.0,10.17
657.0,10.15
656.0,10.14
655.0,10.17
654.0,10.14
653.0,10.10
652.0,10.08
651.0,10.07
650.0,10.04
649.0,10.02
648.0,9.99
647.0,9.97
646.0,9.93
645.0,9.95
644.0,9.95
643.0,9.90
642.0,9.91
641.0,9.90
640.0,9.88
639.0,9.88
638.0,9.85
637.0,9.80
636.0,9.79
635.0,9.78
634.0,9.77
633.0,9.75
632.0,9.75
631.0,9.73
630.0,9.70
629.0,9.72
628.0,9.71
627.0,9.67
626.0,9.64
625.0,9.62
624.0,9.61
623.0,9.60
622.0,9.60
621.0,9.60
620.0,9.59
619.0,9.54
618.0,9.50
617.0,9.49
616.0,9.47
615.0,9.44
614.0,9.43
613.0,9.43
612.0,9.40
611.0,9.39
610.0,9.38
609.0,9.37
608.0,9.37
607.0,9.33
606.0,9.31
605.0,9.32
604.0,9.32
603.0,9.30
602.0,9.27
601.0,9.27
600.0,9.23
599.0,9.21
598.0,9.22
597.0,9.21
596.0,9.18
595.0,9.14
594.0,9.12
593.0,9.11
592.0,9.10
591.0,9.10
590.0,9.10
589.0,9.08
588.0,9.04
587.0,9.04
586.0,9.00
585.0,8.98
584.0,9.00
583.0,8.97
582.0,8.94
581.0,8.95
580.0,8.92
579.0,8.92
578.0,8.90
577.0,8.87
576.0,8.85
575.0,8.84
574.0,8.84
573.0,8.84
572.0,8.82
571.0,8.80
570.0,8.79
569.0,8.77
568.0,8.75
567.0,8.73
566.0,8.70
565.0,8.70
564.0,8.69
563.0,8.68
562.0,8.66
561.0,8.65
560.0,8.64
559.0,8.61
558.0,8.61
557.0,8.61
556.0,8.57
555.0,8.54
554.0,8.53
553.0,8.54
552.0,8.49
551.0,8.46
550.0,8.47
549.0,8.46
548.0,8.43
547.0,8.41
546.0,8.39
545.0,8.36
544.0,8.35
543.0,8.36
542.0,8.34
541.0,8.30
540.0,8.30
539.0,8.27
538.0,8.24
537.0,8.24
536.0,8.20
535.0,8.17
534.0,8.15
533.0,8.13
532.0,8.12
531.0,8.07
530.0,8.06
529.0,8.03
528.0,7.99
527.0,7.95
526.0,7.91
525.0,7.88
524.0,7.82
523.0,7.76
522.0,7.71
521.0,7.66
520.0,7.58
519.0,7.51
518.0,7.43
517.0,7.32
516.0,7.21
515.0,7.07
514.0,6.94
513.0,6.80
512.0,6.63
511.0,6.49
510.0,6.26
509.0,6.03
508.0,5.78
507.0,5.50
506.0,5.21
505.0,4.91
504.0,4.57
503.0,4.23
502.0,3.85
501.0,3.49
500.0,3.08
499.0,2.71
498.0,2.33
497.0,1.98
496.0,1.66
495.0,1.36
494.0,1.09
493.0,0.85
492.0,0.65
491.0,0.48
490.0,0.37
489.0,0.27
488.0,0.21
487.0,0.16
486.0,0.12
485.0,0.10
484.0,0.09
483.0,0.09
482.0,0.09
481.0,0.09
480.0,0.09
479.0,0.09
478.0,0.09
477.0,0.09
476.0,0.09
475.0,0.09
474.0,0.10
473.0,0.10
472.0,0.10
471.0,0.10
470.0,0.10
469.0,0.09
468.0,0.09
467.0,0.10
466.0,0.10
465.0,0.11
464.0,0.11
463.0,0.11
462.0,0.11
461.0,0.10
460.0,0.10
459.0,0.10
458.0,0.10
457.0,0.10
456.0,0.11
455.0,0.11
454.0,0.11
453.0,0.10
452.0,0.09
451.0,0.09
450.0,0.10
449.0,0.10
448.0,0.11
447.0,0.11
446.0,0.10
445.0,0.10
444.0,0.09
443.0,0.09
442.0,0.09
441.0,0.10
440.0,0.10
439.0,0.10
438.0,0.10
437.0,0.09
436.0,0.09
435.0,0.09
434.0,0.10
433.0,0.10
432.0,0.11
431.0,0.11
430.0,0.10
429.0,0.10
428.0,0.09
427.0,0.10
426.0,0.09
425.0,0.10
424.0,0.11
423.0,0.11
422.0,0.11
421.0,0.10
420.0,0.10
419.0,0.10
418.0,0.10
417.0,0.10
416.0,0.11
415.0,0.11
414.0,0.11
413.0,0.11
412.0,0.11
411.0,0.10
410.0,0.10
409.0,0.10
408.0,0.11
407.0,0.12
406.0,0.12
405.0,0.12
404.0,0.14
403.0,0.16
402.0,0.20
401.0,0.26
400.0,0.35
399.0,0.49
398.0,0.69
397.0,0.92
396.0,1.18
395.0,1.48
394.0,1.78
393.0,2.12
392.0,2.43
391.0,2.74
390.0,2.99
389.0,3.21
388.0,3.37
387.0,3.48
386.0,3.53
385.0,3.52
384.0,3.49
383.0,3.40
382.0,3.26
381.0,3.10
380.0,2.91
379.0,2.65
378.0,2.39
377.0,2.11
376.0,1.87
375.0,1.59
374.0,1.36
373.0,1.13
372.0,0.95
371.0,0.76
370.0,0.59
369.0,0.47
368.0,0.35
367.0,0.25
366.0,0.18
365.0,0.14
364.0,0.14
363.0,0.13
362.0,0.13
361.0,0.14
360.0,0.13
359.0,0.12
358.0,0.12
357.0,0.12
356.0,0.14
355.0,0.14
354.0,0.14
353.0,0.14
352.0,0.14
351.0,0.13
350.0,0.13
349.0,0.14
348.0,0.16
347.0,0.16
346.0,0.15
345.0,0.15
344.0,0.17
343.0,0.16
342.0,0.16
341.0,0.16
340.0,0.15
339.0,0.16
338.0,0.16
337.0,0.14
336.0,0.14
335.0,0.15
334.0,0.16
333.0,0.16
332.0,0.15
331.0,0.15
330.0,0.15
329.0,0.14
328.0,0.16
327.0,0.18
326.0,0.16
325.0,0.15
324.0,0.14
323.0,0.12
322.0,0.13
321.0,0.15
320.0,0.17
319.0,0.21
318.0,0.23
317.0,0.23
316.0,0.23
315.0,0.24
314.0,0.25
313.0,0.25
312.0,0.25
311.0,0.24
310.0,0.24
309.0,0.24
308.0,0.25
307.0,0.26
306.0,0.26
305.0,0.26
304.0,0.25
303.0,0.25
302.0,0.25
301.0,0.26
300.0,0.26
299.0,0.27
298.0,0.26
297.0,0.26
296.0,0.26
295.0,0.27
294.0,0.27
293.0,0.28
292.0,0.28
291.0,0.27
290.0,0.27
289.0,0.28
288.0,0.28
287.0,0.28
286.0,0.29
285.0,0.29
284.0,0.28
283.0,0.28
282.0,0.28
281.0,0.29
280.0,0.30
279.0,0.30
278.0,0.31
277.0,0.31
276.0,0.31
275.0,0.31
274.0,0.30
273.0,0.30
272.0,0.30
271.0,0.29
270.0,0.29
269.0,0.28
268.0,0.28
267.0,0.29
266.0,0.29
265.0,0.29
264.0,0.29
263.0,0.28
262.0,0.27
261.0,0.28
260.0,0.28
259.0,0.28
258.0,0.28
257.0,0.27
256.0,0.26
255.0,0.26
254.0,0.27
253.0,0.27
252.0,0.26
251.0,0.26
250.0,0.25
249.0,0.26
248.0,0.26
247.0,0.26
246.0,0.25
245.0,0.25
244.0,0.25
243.0,0.25
242.0,0.26
241.0,0.27
240.0,0.26
239.0,0.25
238.0,0.25
237.0,0.25
236.0,0.26
235.0,0.27
234.0,0.27
233.0,0.27
232.0,0.26
231.0,0.26
230.0,0.27
229.0,0.28
228.0,0.28
227.0,0.28
226.0,0.28
225.0,0.28
224.0,0.29
223.0,0.30
222.0,0.29
221.0,0.30
220.0,0.29
219.0,0.30
218.0,0.31
217.0,0.31
216.0,0.32
215.0,0.32
214.0,0.32
213.0,0.33
212.0,0.35
211.0,0.37
210.0,0.39
209.0,0.40
208.0,0.42
207.0,0.44
206.0,0.47
205.0,0.49
204.0,0.51
203.0,0.51
202.0,0.52
201.0,0.54
200.0,0.57
