Created as New Dataset,
nm,%T
800.0,12.97
799.0,12.90
798.0,12.94
797.0,13.10
796.0,12.87
795.0,13.04
794.0,13.05
793.0,12.91
792.0,12.97
791.0,12.93
790.0,12.80
789.0,12.80
788.0,12.81
787.0,12.90
786.0,12.87
785.0,12.63
784.0,12.75
783.0,12.68
782.0,12.67
781.0,12.68
780.0,12.68
779.0,12.61
778.0,12.57
777.0,12.60
776.0,12.55
775.0,12.53
774.0,12.54
773.0,12.59
772.0,12.55
771.0,12.51
770.0,12.50
769.0,12.48
768.0,12.41
767.0,12.46
766.0,12.48
765.0,12.50
764.0,12.41
763.0,12.39
762.0,12.37
761.0,12.28
760.0,12.32
759.0,12.39
758.0,12.36
757.0,12.32
756.0,12.35
755.0,12.30
754.0,12.30
753.0,12.25
752.0,12.20
751.0,12.29
750.0,12.23
749.0,12.20
748.0,12.10
747.0,12.22
746.0,12.19
745.0,12.06
744.0,12.08
743.0,12.07
742.0,12.14
741.0,12.02
740.0,11.99
739.0,12.04
738.0,12.03
737.0,11.98
736.0,11.92
735.0,11.96
734.0,11.97
733.0,11.97
732.0,11.86
731.0,11.90
730.0,11.93
729.0,11.92
728.0,11.86
727.0,11.84
726.0,11.86
725.0,11.84
724.0,11.81
723.0,11.77
722.0,11.76
721.0,11.70
720.0,11.71
719.0,11.75
718.0,11.72
717.0,11.71
716.0,11.66
715.0,11.68
714.0,11.59
713.0,11.58
712.0,11.58
711.0,11.56
710.0,11.53
709.0,11.56
708.0,11.56
707.0,11.53
706.0,11.54
705.0,11.56
704.0,11.48
703.0,11.46
702.0,11.44
701.0,11.43
700.0,11.38
699.0,11.40
698.0,11.41
697.0,11.41
696.0,11.41
695.0,11.36
694.0,11.33
693.0,11.32
692.0,11.30
691.0,11.25
690.0,11.22
689.0,11.22
688.0,11.20
687.0,11.18
686.0,11.18
685.0,11.18
684.0,11.17
683.0,11.15
682.0,11.11
681.0,11.09
680.0,11.07
679.0,11.06
678.0,11.04
677.0,11.02
676.0,11.00
675.0,10.99
674.0,10.99
673.0,10.96
672.0,10.96
671.0,10.97
670.0,10.97
669.0,10.94
668.0,10.88
667.0,10.87
666.0,10.89
665.0,10.89
664.0,10.85
663.0,10.83
662.0,10.78
661.0,10.80
660.0,10.82
659.0,10.75
658.0,10.73
657.0,10.73
656.0,10.73
655.0,10.71
654.0,10.67
653.0,10.64
652.0,10.62
651.0,10.65
650.0,10.65
649.0,10.61
648.0,10.58
647.0,10.54
646.0,10.56
645.0,10.54
644.0,10.52
643.0,10.50
642.0,10.44
641.0,10.42
640.0,10.44
639.0,10.46
638.0,10.43
637.0,10.37
636.0,10.34
635.0,10.33
634.0,10.33
633.0,10.33
632.0,10.31
631.0,10.30
630.0,10.27
629.0,10.23
628.0,10.23
627.0,10.26
626.0,10.23
625.0,10.22
624.0,10.21
623.0,10.19
622.0,10.15
621.0,10.15
620.0,10.14
619.0,10.12
618.0,10.08
617.0,10.07
616.0,10.08
615.0,10.05
614.0,10.03
613.0,10.01
612.0,9.97
611.0,9.97
610.0,9.98
609.0,9.96
608.0,9.94
607.0,9.91
606.0,9.89
605.0,9.88
604.0,9.87
603.0,9.88
602.0,9.87
601.0,9.85
600.0,9.84
599.0,9.82
598.0,9.82
597.0,9.82
596.0,9.78
595.0,9.75
594.0,9.73
593.0,9.72
592.0,9.71
591.0,9.69
590.0,9.67
