Created as New Dataset,
nm,%T
800.0,0.06
799.0,0.06
798.0,0.03
797.0,0.04
796.0,0.06
795.0,0.05
794.0,0.05
793.0,0.04
792.0,0.07
791.0,0.05
790.0,0.04
789.0,0.04
788.0,0.07
787.0,0.05
786.0,0.06
785.0,0.05
784.0,0.05
783.0,0.06
782.0,0.05
781.0,0.05
780.0,0.04
779.0,0.05
778.0,0.05
777.0,0.05
776.0,0.06
775.0,0.05
774.0,0.05
773.0,0.05
772.0,0.05
771.0,0.05
770.0,0.06
769.0,0.04
768.0,0.06
767.0,0.04
766.0,0.05
765.0,0.05
764.0,0.05
763.0,0.05
762.0,0.06
761.0,0.05
760.0,0.06
759.0,0.05
758.0,0.06
757.0,0.06
756.0,0.05
755.0,0.05
754.0,0.06
753.0,0.07
752.0,0.06
751.0,0.05
750.0,0.06
749.0,0.06
748.0,0.06
747.0,0.05
746.0,0.05
745.0,0.06
744.0,0.07
743.0,0.07
742.0,0.06
741.0,0.06
740.0,0.06
739.0,0.06
738.0,0.06
737.0,0.05
736.0,0.05
735.0,0.06
734.0,0.06
733.0,0.06
732.0,0.05
731.0,0.06
730.0,0.06
729.0,0.06
728.0,0.05
727.0,0.05
726.0,0.05
725.0,0.06
724.0,0.06
723.0,0.05
722.0,0.05
721.0,0.05
720.0,0.06
719.0,0.06
718.0,0.05
717.0,0.05
716.0,0.06
715.0,0.06
714.0,0.06
713.0,0.05
712.0,0.05
711.0,0.06
710.0,0.06
709.0,0.06
708.0,0.06
707.0,0.05
706.0,0.06
705.0,0.07
704.0,0.05
703.0,0.05
702.0,0.05
701.0,0.05
700.0,0.06
699.0,0.06
698.0,0.06
697.0,0.05
696.0,0.05
695.0,0.06
694.0,0.06
693.0,0.06
692.0,0.06
691.0,0.06
690.0,0.06
689.0,0.06
688.0,0.05
687.0,0.05
686.0,0.06
685.0,0.06
684.0,0.06
683.0,0.06
682.0,0.06
681.0,0.06
680.0,0.06
679.0,0.06
678.0,0.05
677.0,0.05
676.0,0.06
675.0,0.06
674.0,0.05
673.0,0.05
672.0,0.05
671.0,0.06
670.0,0.06
669.0,0.06
668.0,0.05
667.0,0.05
666.0,0.06
665.0,0.06
664.0,0.06
