Created as New Dataset,
nm,%T
800.0,0.31
799.0,0.30
798.0,0.32
797.0,0.31
796.0,0.32
795.0,0.29
794.0,0.33
793.0,0.31
792.0,0.32
791.0,0.32
790.0,0.34
789.0,0.30
788.0,0.32
787.0,0.30
786.0,0.31
785.0,0.31
784.0,0.31
783.0,0.30
782.0,0.33
781.0,0.30
780.0,0.32
779.0,0.30
778.0,0.31
777.0,0.31
776.0,0.32
775.0,0.31
774.0,0.31
773.0,0.31
772.0,0.32
771.0,0.30
770.0,0.32
769.0,0.30
768.0,0.30
767.0,0.30
766.0,0.31
765.0,0.30
764.0,0.31
763.0,0.32
762.0,0.30
761.0,0.30
760.0,0.29
759.0,0.31
758.0,0.30
757.0,0.29
756.0,0.28
755.0,0.31
754.0,0.31
753.0,0.31
752.0,0.31
751.0,0.32
750.0,0.30
749.0,0.30
748.0,0.30
747.0,0.31
746.0,0.31
745.0,0.31
744.0,0.30
743.0,0.29
742.0,0.30
741.0,0.32
740.0,0.31
739.0,0.28
738.0,0.31
737.0,0.31
736.0,0.29
735.0,0.29
734.0,0.30
733.0,0.30
732.0,0.30
731.0,0.29
730.0,0.30
729.0,0.30
728.0,0.30
727.0,0.29
726.0,0.30
725.0,0.30
724.0,0.30
723.0,0.30
722.0,0.31
721.0,0.30
720.0,0.30
719.0,0.30
718.0,0.29
717.0,0.30
716.0,0.30
715.0,0.30
714.0,0.30
713.0,0.29
712.0,0.30
711.0,0.30
710.0,0.30
709.0,0.30
708.0,0.30
707.0,0.29
706.0,0.29
705.0,0.29
704.0,0.28
703.0,0.29
702.0,0.31
701.0,0.31
700.0,0.29
699.0,0.29
698.0,0.29
697.0,0.29
696.0,0.29
695.0,0.29
694.0,0.31
693.0,0.30
692.0,0.29
691.0,0.30
690.0,0.30
689.0,0.28
688.0,0.29
687.0,0.30
686.0,0.30
685.0,0.29
684.0,0.29
683.0,0.30
682.0,0.30
681.0,0.29
680.0,0.28
679.0,0.28
678.0,0.29
677.0,0.30
