Created as New Dataset,
nm,%T
800.0,0.34
799.0,0.28
798.0,0.33
797.0,0.32
796.0,0.33
795.0,0.33
794.0,0.34
793.0,0.33
792.0,0.32
791.0,0.33
790.0,0.35
789.0,0.36
788.0,0.34
787.0,0.35
786.0,0.35
785.0,0.34
784.0,0.35
783.0,0.35
782.0,0.34
781.0,0.35
780.0,0.33
779.0,0.34
778.0,0.36
777.0,0.34
776.0,0.33
775.0,0.33
774.0,0.33
773.0,0.30
772.0,0.35
771.0,0.33
770.0,0.33
769.0,0.34
768.0,0.31
767.0,0.34
766.0,0.34
765.0,0.33
764.0,0.33
763.0,0.34
762.0,0.32
761.0,0.35
760.0,0.33
759.0,0.33
758.0,0.31
757.0,0.33
756.0,0.34
755.0,0.33
754.0,0.32
753.0,0.35
752.0,0.34
751.0,0.33
750.0,0.33
749.0,0.32
748.0,0.32
747.0,0.33
746.0,0.34
745.0,0.34
744.0,0.33
743.0,0.33
742.0,0.33
741.0,0.32
740.0,0.33
739.0,0.34
738.0,0.35
737.0,0.33
736.0,0.32
735.0,0.34
734.0,0.33
733.0,0.33
732.0,0.33
731.0,0.33
730.0,0.32
729.0,0.33
728.0,0.33
727.0,0.33
726.0,0.33
725.0,0.32
724.0,0.32
723.0,0.34
722.0,0.33
721.0,0.33
720.0,0.32
719.0,0.32
718.0,0.33
717.0,0.33
716.0,0.33
715.0,0.34
714.0,0.32
713.0,0.32
712.0,0.33
711.0,0.34
710.0,0.34
709.0,0.33
708.0,0.32
707.0,0.32
706.0,0.33
705.0,0.34
704.0,0.32
703.0,0.32
702.0,0.31
701.0,0.32
700.0,0.33
699.0,0.33
698.0,0.33
697.0,0.33
696.0,0.33
695.0,0.33
694.0,0.33
693.0,0.33
692.0,0.33
691.0,0.32
690.0,0.33
689.0,0.33
688.0,0.32
687.0,0.33
686.0,0.32
685.0,0.33
684.0,0.33
683.0,0.32
682.0,0.33
681.0,0.33
680.0,0.33
679.0,0.32
678.0,0.32
677.0,0.32
676.0,0.32
675.0,0.32
674.0,0.32
673.0,0.32
672.0,0.32
671.0,0.32
670.0,0.33
669.0,0.32
668.0,0.32
667.0,0.31
666.0,0.32
665.0,0.33
664.0,0.32
663.0,0.32
662.0,0.32
661.0,0.31
660.0,0.32
659.0,0.32
658.0,0.32
657.0,0.32
656.0,0.32
655.0,0.31
654.0,0.32
653.0,0.32
652.0,0.33
651.0,0.32
650.0,0.32
649.0,0.31
648.0,0.31
647.0,0.31
646.0,0.31
645.0,0.32
644.0,0.32
643.0,0.32
642.0,0.31
641.0,0.31
640.0,0.32
639.0,0.32
638.0,0.32
637.0,0.32
636.0,0.31
635.0,0.31
634.0,0.31
633.0,0.32
632.0,0.32
631.0,0.32
630.0,0.31
629.0,0.31
628.0,0.31
627.0,0.31
626.0,0.32
625.0,0.32
624.0,0.31
623.0,0.31
622.0,0.31
621.0,0.32
620.0,0.32
619.0,0.31
618.0,0.31
617.0,0.31
616.0,0.31
615.0,0.31
614.0,0.31
613.0,0.32
612.0,0.31
611.0,0.30
610.0,0.30
609.0,0.31
608.0,0.31
607.0,0.31
606.0,0.31
605.0,0.31
604.0,0.30
603.0,0.31
602.0,0.31
601.0,0.31
600.0,0.31
599.0,0.31
598.0,0.30
597.0,0.30
596.0,0.31
595.0,0.31
594.0,0.31
593.0,0.31
592.0,0.30
591.0,0.30
590.0,0.30
589.0,0.31
588.0,0.31
587.0,0.31
586.0,0.31
585.0,0.31
584.0,0.30
583.0,0.30
582.0,0.30
581.0,0.30
580.0,0.31
579.0,0.31
578.0,0.31
577.0,0.31
576.0,0.30
575.0,0.30
574.0,0.30
573.0,0.31
572.0,0.31
571.0,0.31
570.0,0.30
569.0,0.30
568.0,0.29
567.0,0.29
566.0,0.30
565.0,0.31
564.0,0.31
563.0,0.31
562.0,0.30
561.0,0.30
560.0,0.30
559.0,0.30
558.0,0.30
557.0,0.30
556.0,0.29
555.0,0.29
554.0,0.29
553.0,0.30
552.0,0.30
551.0,0.30
550.0,0.30
549.0,0.29
548.0,0.30
547.0,0.30
546.0,0.30
545.0,0.30
544.0,0.30
543.0,0.29
542.0,0.29
541.0,0.29
540.0,0.30
539.0,0.30
538.0,0.30
537.0,0.29
536.0,0.29
535.0,0.29
534.0,0.29
533.0,0.30
532.0,0.30
531.0,0.30
530.0,0.29
529.0,0.29
528.0,0.29
527.0,0.29
526.0,0.30
525.0,0.30
524.0,0.30
523.0,0.29
522.0,0.29
521.0,0.28
520.0,0.29
519.0,0.30
518.0,0.30
517.0,0.30
516.0,0.30
515.0,0.29
514.0,0.28
513.0,0.28
512.0,0.28
511.0,0.28
510.0,0.29
509.0,0.29
508.0,0.28
507.0,0.27
506.0,0.27
505.0,0.26
504.0,0.26
503.0,0.25
502.0,0.25
501.0,0.25
500.0,0.25
499.0,0.24
498.0,0.24
497.0,0.23
496.0,0.22
495.0,0.21
494.0,0.20
493.0,0.20
492.0,0.20
491.0,0.19
490.0,0.19
489.0,0.18
488.0,0.17
487.0,0.17
486.0,0.16
485.0,0.15
484.0,0.15
483.0,0.14
482.0,0.14
481.0,0.15
480.0,0.15
479.0,0.15
478.0,0.15
477.0,0.15
476.0,0.14
475.0,0.14
474.0,0.14
473.0,0.15
472.0,0.15
471.0,0.16
470.0,0.16
469.0,0.15
468.0,0.15
467.0,0.15
466.0,0.15
465.0,0.15
464.0,0.15
463.0,0.15
462.0,0.16
461.0,0.16
460.0,0.16
459.0,0.16
458.0,0.15
457.0,0.15
456.0,0.14
455.0,0.15
454.0,0.15
453.0,0.15
452.0,0.16
451.0,0.16
450.0,0.15
449.0,0.15
448.0,0.16
447.0,0.14
446.0,0.14
445.0,0.14
444.0,0.14
443.0,0.15
442.0,0.15
441.0,0.15
440.0,0.15
439.0,0.15
438.0,0.14
437.0,0.14
436.0,0.14
435.0,0.14
434.0,0.15
433.0,0.15
432.0,0.15
431.0,0.15
430.0,0.15
429.0,0.14
