Created as New Dataset,
nm,%T
800.0,10.03
799.0,9.94
798.0,9.92
797.0,9.94
796.0,9.97
795.0,9.94
794.0,10.04
793.0,9.96
792.0,9.82
791.0,9.85
790.0,9.84
789.0,9.85
788.0,9.80
787.0,9.95
786.0,9.92
785.0,9.80
784.0,9.73
783.0,9.68
782.0,9.74
781.0,9.71
780.0,9.82
779.0,9.70
778.0,9.64
777.0,9.72
776.0,9.63
775.0,9.66
774.0,9.71
773.0,9.71
772.0,9.64
771.0,9.61
770.0,9.70
769.0,9.67
768.0,9.65
767.0,9.58
766.0,9.61
765.0,9.64
764.0,9.52
763.0,9.59
762.0,9.55
761.0,9.52
760.0,9.43
759.0,9.48
758.0,9.47
757.0,9.51
756.0,9.39
755.0,9.40
754.0,9.42
753.0,9.40
752.0,9.46
751.0,9.39
750.0,9.33
749.0,9.35
748.0,9.38
747.0,9.33
746.0,9.31
745.0,9.28
744.0,9.26
743.0,9.28
742.0,9.28
741.0,9.25
740.0,9.20
739.0,9.26
738.0,9.23
737.0,9.22
736.0,9.20
735.0,9.24
734.0,9.23
733.0,9.17
732.0,9.12
731.0,9.16
730.0,9.16
729.0,9.18
728.0,9.10
727.0,9.12
726.0,9.10
725.0,9.07
724.0,9.05
723.0,9.09
722.0,9.04
721.0,9.08
720.0,9.04
719.0,8.98
718.0,9.04
717.0,9.00
716.0,8.94
715.0,8.93
714.0,8.88
713.0,8.91
712.0,8.95
711.0,8.94
710.0,8.89
709.0,8.88
708.0,8.92
707.0,8.89
706.0,8.84
705.0,8.85
704.0,8.85
703.0,8.84
702.0,8.83
701.0,8.79
700.0,8.77
699.0,8.77
698.0,8.79
697.0,8.78
696.0,8.77
695.0,8.75
694.0,8.75
693.0,8.74
692.0,8.70
691.0,8.70
690.0,8.69
689.0,8.69
688.0,8.67
687.0,8.65
686.0,8.64
685.0,8.63
684.0,8.63
683.0,8.65
682.0,8.62
681.0,8.60
680.0,8.59
679.0,8.59
678.0,8.54
677.0,8.53
676.0,8.52
675.0,8.52
674.0,8.55
673.0,8.52
672.0,8.49
671.0,8.49
670.0,8.48
669.0,8.48
668.0,8.46
667.0,8.43
666.0,8.42
665.0,8.41
664.0,8.41
663.0,8.40
662.0,8.40
661.0,8.41
660.0,8.38
659.0,8.36
658.0,8.33
657.0,8.31
656.0,8.32
655.0,8.33
654.0,8.31
653.0,8.30
652.0,8.29
651.0,8.26
650.0,8.24
649.0,8.24
648.0,8.25
647.0,8.24
646.0,8.19
645.0,8.19
644.0,8.20
643.0,8.19
642.0,8.19
641.0,8.17
640.0,8.16
639.0,8.14
638.0,8.10
637.0,8.09
636.0,8.10
635.0,8.10
634.0,8.08
633.0,8.09
632.0,8.07
631.0,8.04
630.0,8.06
629.0,8.04
628.0,8.01
627.0,8.01
626.0,8.01
625.0,7.99
624.0,7.98
623.0,7.97
622.0,7.95
621.0,7.95
620.0,7.96
619.0,7.94
618.0,7.93
617.0,7.93
616.0,7.89
615.0,7.87
614.0,7.85
613.0,7.85
612.0,7.84
611.0,7.84
610.0,7.83
609.0,7.81
608.0,7.80
607.0,7.77
606.0,7.76
605.0,7.77
604.0,7.74
603.0,7.72
602.0,7.73
601.0,7.72
600.0,7.72
599.0,7.70
598.0,7.70
597.0,7.69
596.0,7.67
595.0,7.66
594.0,7.64
593.0,7.66
592.0,7.64
591.0,7.61
590.0,7.61
589.0,7.61
588.0,7.59
587.0,7.58
586.0,7.57
585.0,7.56
584.0,7.55
583.0,7.52
582.0,7.51
581.0,7.50
580.0,7.52
579.0,7.50
578.0,7.47
577.0,7.46
576.0,7.45
575.0,7.44
574.0,7.43
573.0,7.44
572.0,7.44
571.0,7.44
570.0,7.40
569.0,7.38
568.0,7.37
567.0,7.36
566.0,7.34
565.0,7.35
564.0,7.34
563.0,7.35
562.0,7.33
561.0,7.30
560.0,7.28
559.0,7.29
558.0,7.28
557.0,7.24
556.0,7.24
555.0,7.23
554.0,7.23
553.0,7.23
552.0,7.19
551.0,7.14
550.0,7.18
549.0,7.17
548.0,7.14
547.0,7.14
546.0,7.13
545.0,7.08
544.0,7.09
543.0,7.10
542.0,7.10
541.0,7.09
540.0,7.06
539.0,7.06
538.0,7.03
537.0,7.00
536.0,6.98
535.0,6.98
534.0,6.97
533.0,6.97
532.0,6.96
531.0,6.92
530.0,6.93
529.0,6.92
528.0,6.90
527.0,6.87
526.0,6.84
525.0,6.84
524.0,6.84
523.0,6.83
522.0,6.79
521.0,6.79
520.0,6.79
519.0,6.78
518.0,6.75
517.0,6.72
516.0,6.74
515.0,6.71
514.0,6.71
513.0,6.70
512.0,6.67
511.0,6.66
510.0,6.65
509.0,6.66
508.0,6.64
507.0,6.64
506.0,6.64
505.0,6.59
504.0,6.58
503.0,6.59
502.0,6.58
501.0,6.59
500.0,6.53
499.0,6.54
498.0,6.53
497.0,6.51
496.0,6.54
495.0,6.52
494.0,6.51
493.0,6.50
492.0,6.48
491.0,6.50
490.0,6.45
489.0,6.46
488.0,6.45
487.0,6.45
486.0,6.43
485.0,6.41
484.0,6.41
483.0,6.41
482.0,6.42
481.0,6.39
480.0,6.39
479.0,6.37
478.0,6.36
477.0,6.32
476.0,6.33
475.0,6.34
474.0,6.32
473.0,6.29
472.0,6.29
471.0,6.29
470.0,6.26
469.0,6.25
468.0,6.23
467.0,6.24
466.0,6.23
465.0,6.19
464.0,6.18
463.0,6.17
462.0,6.19
461.0,6.19
460.0,6.17
459.0,6.13
458.0,6.16
457.0,6.12
456.0,6.14
455.0,6.13
454.0,6.11
453.0,6.09
452.0,6.08
451.0,6.06
450.0,6.07
449.0,6.07
