Created as New Dataset,
nm,%T
800.0,9.61
799.0,9.77
798.0,9.75
797.0,9.66
796.0,9.70
795.0,9.64
794.0,9.60
793.0,9.76
792.0,9.56
791.0,9.70
790.0,9.62
789.0,9.57
788.0,9.64
787.0,9.62
786.0,9.57
785.0,9.66
784.0,9.55
783.0,9.53
782.0,9.55
781.0,9.55
780.0,9.54
779.0,9.47
778.0,9.40
777.0,9.40
776.0,9.42
775.0,9.40
774.0,9.44
773.0,9.45
772.0,9.38
771.0,9.40
770.0,9.43
769.0,9.34
768.0,9.32
767.0,9.36
766.0,9.33
765.0,9.26
764.0,9.24
763.0,9.32
762.0,9.31
761.0,9.32
760.0,9.27
759.0,9.33
758.0,9.29
757.0,9.29
756.0,9.19
755.0,9.20
754.0,9.12
753.0,9.18
752.0,9.21
751.0,9.19
750.0,9.11
749.0,9.22
748.0,9.11
747.0,9.10
746.0,9.07
745.0,9.12
744.0,9.08
743.0,9.06
742.0,8.99
741.0,8.99
740.0,9.00
739.0,9.09
738.0,9.02
737.0,8.98
736.0,8.93
735.0,8.94
734.0,8.98
733.0,8.92
732.0,8.89
731.0,8.90
730.0,8.89
729.0,8.86
728.0,8.84
727.0,8.84
726.0,8.82
725.0,8.88
724.0,8.81
723.0,8.80
722.0,8.73
721.0,8.79
720.0,8.78
719.0,8.74
718.0,8.72
717.0,8.73
716.0,8.75
715.0,8.74
714.0,8.68
713.0,8.66
712.0,8.69
711.0,8.68
710.0,8.66
709.0,8.62
708.0,8.64
707.0,8.59
706.0,8.58
705.0,8.61
704.0,8.57
703.0,8.51
702.0,8.51
701.0,8.54
700.0,8.52
699.0,8.55
698.0,8.51
697.0,8.51
696.0,8.50
695.0,8.47
694.0,8.45
693.0,8.47
692.0,8.43
691.0,8.41
690.0,8.40
689.0,8.40
688.0,8.37
687.0,8.39
686.0,8.39
685.0,8.36
684.0,8.37
683.0,8.35
682.0,8.33
681.0,8.37
680.0,8.34
679.0,8.33
678.0,8.32
677.0,8.30
676.0,8.28
675.0,8.25
674.0,8.24
673.0,8.21
672.0,8.18
671.0,8.19
670.0,8.21
669.0,8.20
668.0,8.17
667.0,8.15
666.0,8.15
665.0,8.14
664.0,8.12
663.0,8.14
662.0,8.13
661.0,8.10
660.0,8.07
659.0,8.05
658.0,8.06
657.0,8.04
656.0,8.02
655.0,8.02
654.0,8.02
653.0,8.02
652.0,7.99
651.0,7.97
650.0,7.97
649.0,7.97
648.0,7.94
647.0,7.94
646.0,7.94
645.0,7.91
644.0,7.89
643.0,7.90
642.0,7.87
641.0,7.85
640.0,7.86
639.0,7.85
638.0,7.85
637.0,7.82
636.0,7.83
635.0,7.84
634.0,7.80
633.0,7.77
632.0,7.77
631.0,7.75
630.0,7.75
629.0,7.74
628.0,7.71
627.0,7.69
626.0,7.69
625.0,7.69
624.0,7.68
623.0,7.67
622.0,7.66
621.0,7.66
620.0,7.65
619.0,7.63
618.0,7.61
617.0,7.61
616.0,7.59
615.0,7.58
614.0,7.59
613.0,7.57
612.0,7.53
611.0,7.53
610.0,7.50
609.0,7.51
608.0,7.50
607.0,7.48
606.0,7.46
605.0,7.48
604.0,7.48
603.0,7.44
602.0,7.41
601.0,7.41
600.0,7.41
599.0,7.40
598.0,7.40
597.0,7.37
596.0,7.36
595.0,7.35
594.0,7.33
593.0,7.35
592.0,7.32
591.0,7.30
590.0,7.30
589.0,7.29
588.0,7.27
587.0,7.26
586.0,7.25
585.0,7.25
584.0,7.24
583.0,7.22
582.0,7.21
581.0,7.20
580.0,7.20
579.0,7.17
578.0,7.19
577.0,7.17
576.0,7.15
575.0,7.14
574.0,7.13
573.0,7.11
572.0,7.12
571.0,7.11
570.0,7.06
569.0,7.06
568.0,7.05
567.0,7.05
566.0,7.04
565.0,7.04
564.0,7.05
563.0,7.02
562.0,7.00
561.0,6.97
560.0,6.96
559.0,6.97
558.0,6.96
557.0,6.93
556.0,6.94
555.0,6.91
554.0,6.93
553.0,6.91
552.0,6.90
551.0,6.87
550.0,6.88
549.0,6.85
548.0,6.85
547.0,6.82
546.0,6.81
545.0,6.79
544.0,6.78
543.0,6.79
542.0,6.78
541.0,6.73
540.0,6.74
539.0,6.74
538.0,6.71
537.0,6.70
536.0,6.70
535.0,6.67
534.0,6.67
533.0,6.66
532.0,6.64
531.0,6.61
530.0,6.60
529.0,6.60
528.0,6.59
527.0,6.57
526.0,6.54
525.0,6.53
524.0,6.52
523.0,6.52
522.0,6.49
521.0,6.47
520.0,6.46
519.0,6.47
518.0,6.44
517.0,6.41
516.0,6.42
515.0,6.39
514.0,6.38
513.0,6.39
512.0,6.36
511.0,6.33
510.0,6.33
509.0,6.33
508.0,6.32
507.0,6.29
506.0,6.32
505.0,6.28
504.0,6.28
503.0,6.27
502.0,6.28
501.0,6.27
500.0,6.22
499.0,6.21
498.0,6.21
497.0,6.23
496.0,6.22
495.0,6.19
494.0,6.18
493.0,6.18
492.0,6.18
491.0,6.16
490.0,6.13
489.0,6.10
488.0,6.13
487.0,6.11
486.0,6.06
485.0,6.07
484.0,6.11
483.0,6.05
482.0,6.08
481.0,6.03
480.0,6.04
479.0,6.02
478.0,6.01
477.0,5.99
476.0,5.99
475.0,6.01
474.0,5.96
473.0,5.95
472.0,5.95
471.0,5.94
470.0,5.93
469.0,5.93
468.0,5.90
467.0,5.90
466.0,5.89
465.0,5.87
464.0,5.86
463.0,5.84
462.0,5.83
461.0,5.85
460.0,5.82
459.0,5.81
458.0,5.80
457.0,5.80
456.0,5.79
455.0,5.76
454.0,5.76
453.0,5.75
452.0,5.75
451.0,5.73
450.0,5.72
449.0,5.71
448.0,5.69
447.0,5.70
446.0,5.69
445.0,5.67
444.0,5.65
443.0,5.63
442.0,5.64
441.0,5.62
440.0,5.60
439.0,5.58
438.0,5.58
437.0,5.60
436.0,5.56
435.0,5.53
434.0,5.52
433.0,5.52
432.0,5.51
431.0,5.52
430.0,5.45
429.0,5.45
428.0,5.44
427.0,5.45
426.0,5.41
425.0,5.40
424.0,5.39
423.0,5.41
422.0,5.39
421.0,5.34
420.0,5.31
419.0,5.31
418.0,5.30
417.0,5.29
416.0,5.28
415.0,5.24
414.0,5.21
413.0,5.20
412.0,5.18
411.0,5.18
410.0,5.16
409.0,5.11
408.0,5.07
407.0,5.06
406.0,5.04
405.0,4.97
404.0,4.94
403.0,4.89
402.0,4.84
401.0,4.81
400.0,4.71
399.0,4.65
398.0,4.58
397.0,4.47
396.0,4.35
395.0,4.26
394.0,4.14
393.0,4.00
392.0,3.83
391.0,3.65
390.0,3.42
389.0,3.21
388.0,2.96
387.0,2.66
386.0,2.35
385.0,2.03
384.0,1.71
383.0,1.40
382.0,1.09
381.0,0.81
380.0,0.62
379.0,0.46
378.0,0.34
377.0,0.23
376.0,0.19
375.0,0.19
374.0,0.18
373.0,0.20
372.0,0.20
371.0,0.19
370.0,0.19
369.0,0.20
368.0,0.21
367.0,0.21
366.0,0.21
365.0,0.22
364.0,0.23
363.0,0.24
362.0,0.25
361.0,0.25
360.0,0.24
359.0,0.23
358.0,0.22
357.0,0.23
356.0,0.24
355.0,0.24
354.0,0.23
353.0,0.24
352.0,0.24
351.0,0.22
350.0,0.23
349.0,0.23
348.0,0.23
347.0,0.23
346.0,0.22
345.0,0.21
344.0,0.21
343.0,0.21
342.0,0.20
341.0,0.18
340.0,0.18
339.0,0.18
338.0,0.17
337.0,0.15
336.0,0.15
335.0,0.16
334.0,0.14
333.0,0.14
332.0,0.15
331.0,0.14
330.0,0.14
329.0,0.13
328.0,0.13
327.0,0.15
326.0,0.15
325.0,0.15
324.0,0.14
323.0,0.15
322.0,0.17
321.0,0.18
320.0,0.18
319.0,0.19
318.0,0.22
317.0,0.22
316.0,0.22
315.0,0.22
314.0,0.23
313.0,0.24
312.0,0.24
311.0,0.24
310.0,0.24
309.0,0.25
308.0,0.25
307.0,0.25
306.0,0.26
305.0,0.27
304.0,0.26
303.0,0.26
302.0,0.27
301.0,0.28
300.0,0.28
299.0,0.28
298.0,0.28
297.0,0.29
296.0,0.29
295.0,0.28
294.0,0.28
293.0,0.29
292.0,0.30
291.0,0.29
290.0,0.28
289.0,0.28
288.0,0.29
287.0,0.28
286.0,0.28
285.0,0.28
284.0,0.29
283.0,0.29
282.0,0.28
281.0,0.28
280.0,0.28
279.0,0.28
278.0,0.28
277.0,0.27
276.0,0.28
275.0,0.28
274.0,0.28
273.0,0.28
272.0,0.28
271.0,0.28
270.0,0.29
269.0,0.28
268.0,0.28
267.0,0.28
266.0,0.29
265.0,0.29
264.0,0.28
263.0,0.28
262.0,0.28
261.0,0.28
260.0,0.27
259.0,0.27
258.0,0.27
257.0,0.27
256.0,0.26
255.0,0.24
254.0,0.24
253.0,0.25
252.0,0.24
251.0,0.23
250.0,0.23
249.0,0.23
248.0,0.23
247.0,0.22
246.0,0.21
245.0,0.22
244.0,0.22
243.0,0.21
242.0,0.21
241.0,0.21
240.0,0.21
239.0,0.21
238.0,0.21
237.0,0.22
236.0,0.22
235.0,0.21
234.0,0.21
233.0,0.22
232.0,0.23
231.0,0.22
230.0,0.22
229.0,0.23
228.0,0.24
227.0,0.23
226.0,0.23
225.0,0.24
224.0,0.25
223.0,0.25
222.0,0.25
221.0,0.26
220.0,0.26
219.0,0.26
218.0,0.27
217.0,0.28
216.0,0.29
215.0,0.28
214.0,0.29
213.0,0.30
212.0,0.31
211.0,0.31
210.0,0.31
209.0,0.32
208.0,0.33
207.0,0.34
206.0,0.34
205.0,0.36
204.0,0.39
203.0,0.42
202.0,0.46
201.0,0.52
200.0,0.57
